question,answer,category
What is the official unit of measurement for code quality?,Lines of coffee consumed per feature,metrology
Why do Java developers wear glasses?,Because they can't C#,ophthalmology
What happens when you divide a programmer by zero?,They become undefined,mathematics
How do you measure the weight of a recursive function?,In stack frames,physics
What is the preferred habitat of a wild semicolon?,The end of a statement in most languages except Python,ecology
Why was the database administrator sad?,All their relationships were one-to-many,psychology
What temperature does code freeze at?,Absolute zero bugs,thermodynamics
How many product managers does it take to define a feature?,One more meeting,project_management
What is the half-life of a TODO comment?,Approximately forever,nuclear_physics
Why did the function go to couples therapy?,It had commitment issues,relationships
What is the speed of mass transit in a monorepo?,Inversely proportional to node_modules size,transportation
How do you weigh a container?,In docker-grams,chemistry
What is the natural predator of a merge conflict?,Pair programming,zoology
Why did the CSS go to art school?,To improve its class,education
What sound does a rubber duck make during debugging?,Revelations,acoustics
How long is a piece of legacy code?,Too long to refactor before the deadline,geometry
What is the boiling point of a standup meeting?,15 minutes exactly,thermodynamics
Why did the API feel lonely?,Nobody called it anymore,psychology
What do you call a function that tells jokes?,A pun-ction,linguistics
How does a boolean relax?,It takes a true break,wellness
